id,Outcome_M1,Outcome_M2,Outcome_M3,Outcome_M4,Outcome_M5,Outcome_M6,Outcome_M7,Outcome_M8,Outcome_M9,Outcome_M10,Outcome_M11,Outcome_M12
1,6737.6,1,1,1,1,1,1,1,1,1,1,1
2,6027.3,1,1,1,1,1,1,1,1,1,1,1
3,2853.5,1,1,1,1,1,1,1,1,1,1,1
4,5982,1,1,1,1,1,1,1,1,1,1,1
5,4102.7,1,1,1,1,1,1,1,1,1,1,1
6,4733.8,1,1,1,1,1,1,1,1,1,1,1
7,8432,1,1,1,1,1,1,1,1,1,1,1
8,3627.2,1,1,1,1,1,1,1,1,1,1,1
9,8374.8,1,1,1,1,1,1,1,1,1,1,1
10,8110.7,1,1,1,1,1,1,1,1,1,1,1
11,1.5168e+05,1,1,1,1,1,1,1,1,1,1,1
12,4499.7,1,1,1,1,1,1,1,1,1,1,1
13,38264,1,1,1,1,1,1,1,1,1,1,1
14,4147.1,1,1,1,1,1,1,1,1,1,1,1
15,3449.3,1,1,1,1,1,1,1,1,1,1,1
16,5513.4,1,1,1,1,1,1,1,1,1,1,1
17,3799.5,1,1,1,1,1,1,1,1,1,1,1
18,5216.5,1,1,1,1,1,1,1,1,1,1,1
19,10645,1,1,1,1,1,1,1,1,1,1,1
20,3688.9,1,1,1,1,1,1,1,1,1,1,1
21,2351.4,1,1,1,1,1,1,1,1,1,1,1
22,3643.8,1,1,1,1,1,1,1,1,1,1,1
23,4358.6,1,1,1,1,1,1,1,1,1,1,1
24,8337.8,1,1,1,1,1,1,1,1,1,1,1
25,12523,1,1,1,1,1,1,1,1,1,1,1
26,2540.9,1,1,1,1,1,1,1,1,1,1,1
27,9147.6,1,1,1,1,1,1,1,1,1,1,1
28,14998,1,1,1,1,1,1,1,1,1,1,1
29,19972,1,1,1,1,1,1,1,1,1,1,1
30,4253,1,1,1,1,1,1,1,1,1,1,1
31,15308,1,1,1,1,1,1,1,1,1,1,1
32,28046,1,1,1,1,1,1,1,1,1,1,1
33,11837,1,1,1,1,1,1,1,1,1,1,1
34,4268.4,1,1,1,1,1,1,1,1,1,1,1
35,3413.8,1,1,1,1,1,1,1,1,1,1,1
36,11841,1,1,1,1,1,1,1,1,1,1,1
37,8674,1,1,1,1,1,1,1,1,1,1,1
38,4185.7,1,1,1,1,1,1,1,1,1,1,1
39,2872.2,1,1,1,1,1,1,1,1,1,1,1
40,4022.9,1,1,1,1,1,1,1,1,1,1,1
41,3605.4,1,1,1,1,1,1,1,1,1,1,1
42,3571,1,1,1,1,1,1,1,1,1,1,1
43,8954.7,1,1,1,1,1,1,1,1,1,1,1
44,6122.2,1,1,1,1,1,1,1,1,1,1,1
45,3232.1,1,1,1,1,1,1,1,1,1,1,1
46,5804.4,1,1,1,1,1,1,1,1,1,1,1
47,8903.4,1,1,1,1,1,1,1,1,1,1,1
48,56800,1,1,1,1,1,1,1,1,1,1,1
49,13158,1,1,1,1,1,1,1,1,1,1,1
50,3617,1,1,1,1,1,1,1,1,1,1,1
51,20919,1,1,1,1,1,1,1,1,1,1,1
52,2583.3,1,1,1,1,1,1,1,1,1,1,1
53,28437,1,1,1,1,1,1,1,1,1,1,1
54,11809,1,1,1,1,1,1,1,1,1,1,1
55,15237,1,1,1,1,1,1,1,1,1,1,1
56,3332.9,1,1,1,1,1,1,1,1,1,1,1
57,3317.9,1,1,1,1,1,1,1,1,1,1,1
58,7419.9,1,1,1,1,1,1,1,1,1,1,1
59,4452,1,1,1,1,1,1,1,1,1,1,1
60,5905.7,1,1,1,1,1,1,1,1,1,1,1
61,2989,1,1,1,1,1,1,1,1,1,1,1
62,5569,1,1,1,1,1,1,1,1,1,1,1
63,4310.3,1,1,1,1,1,1,1,1,1,1,1
64,4623.3,1,1,1,1,1,1,1,1,1,1,1
65,3718.2,1,1,1,1,1,1,1,1,1,1,1
66,4331.1,1,1,1,1,1,1,1,1,1,1,1
67,6235.2,1,1,1,1,1,1,1,1,1,1,1
68,5776.2,1,1,1,1,1,1,1,1,1,1,1
69,8486.9,1,1,1,1,1,1,1,1,1,1,1
70,3603.1,1,1,1,1,1,1,1,1,1,1,1
71,2877.2,1,1,1,1,1,1,1,1,1,1,1
72,3620.2,1,1,1,1,1,1,1,1,1,1,1
73,8181.3,1,1,1,1,1,1,1,1,1,1,1
74,3390.5,1,1,1,1,1,1,1,1,1,1,1
75,2519.3,1,1,1,1,1,1,1,1,1,1,1
76,8938.1,1,1,1,1,1,1,1,1,1,1,1
77,5166.6,1,1,1,1,1,1,1,1,1,1,1
78,20695,1,1,1,1,1,1,1,1,1,1,1
79,2829.7,1,1,1,1,1,1,1,1,1,1,1
80,8472.1,1,1,1,1,1,1,1,1,1,1,1
81,9894.1,1,1,1,1,1,1,1,1,1,1,1
82,6497.4,1,1,1,1,1,1,1,1,1,1,1
83,9928.4,1,1,1,1,1,1,1,1,1,1,1
84,5712.2,1,1,1,1,1,1,1,1,1,1,1
85,29811,1,1,1,1,1,1,1,1,1,1,1
86,2638.6,1,1,1,1,1,1,1,1,1,1,1
87,11621,1,1,1,1,1,1,1,1,1,1,1
88,8716.6,1,1,1,1,1,1,1,1,1,1,1
89,4104,1,1,1,1,1,1,1,1,1,1,1
90,4319.2,1,1,1,1,1,1,1,1,1,1,1
91,2865.7,1,1,1,1,1,1,1,1,1,1,1
92,6897.5,1,1,1,1,1,1,1,1,1,1,1
93,6237.4,1,1,1,1,1,1,1,1,1,1,1
94,16028,1,1,1,1,1,1,1,1,1,1,1
95,3979.3,1,1,1,1,1,1,1,1,1,1,1
96,23549,1,1,1,1,1,1,1,1,1,1,1
97,6364,1,1,1,1,1,1,1,1,1,1,1
98,4832.9,1,1,1,1,1,1,1,1,1,1,1
99,10590,1,1,1,1,1,1,1,1,1,1,1
100,9827.9,1,1,1,1,1,1,1,1,1,1,1
101,8329.6,1,1,1,1,1,1,1,1,1,1,1
102,3065.5,1,1,1,1,1,1,1,1,1,1,1
103,9202.6,1,1,1,1,1,1,1,1,1,1,1
104,2968,1,1,1,1,1,1,1,1,1,1,1
105,2877.6,1,1,1,1,1,1,1,1,1,1,1
106,29498,1,1,1,1,1,1,1,1,1,1,1
107,2631.6,1,1,1,1,1,1,1,1,1,1,1
108,9899.2,1,1,1,1,1,1,1,1,1,1,1
109,5374.2,1,1,1,1,1,1,1,1,1,1,1
110,4827.1,1,1,1,1,1,1,1,1,1,1,1
111,3111.6,1,1,1,1,1,1,1,1,1,1,1
112,3748.8,1,1,1,1,1,1,1,1,1,1,1
113,5267.9,1,1,1,1,1,1,1,1,1,1,1
114,3530.2,1,1,1,1,1,1,1,1,1,1,1
115,9037.3,1,1,1,1,1,1,1,1,1,1,1
116,3522.3,1,1,1,1,1,1,1,1,1,1,1
117,9453.9,1,1,1,1,1,1,1,1,1,1,1
118,2522,1,1,1,1,1,1,1,1,1,1,1
119,2896.1,1,1,1,1,1,1,1,1,1,1,1
120,11307,1,1,1,1,1,1,1,1,1,1,1
121,3618.1,1,1,1,1,1,1,1,1,1,1,1
122,3257.1,1,1,1,1,1,1,1,1,1,1,1
123,3542.4,1,1,1,1,1,1,1,1,1,1,1
124,40539,1,1,1,1,1,1,1,1,1,1,1
125,9506.9,1,1,1,1,1,1,1,1,1,1,1
